State ,Timeliness ,,Reliability ,,Accuracy ,,,Accessibility ,,Contextual/Completeness,
,Date of state’s earliest data report1 ,Data updated every 24 hours,Identifiable source of state’s data  ,Source(s) of state-reported data provided independent verification2 ,Subjectively rated “oddities” present among state’s data3 ,State’s case count consistent between same-day state and CDC reports ,State’s death count consistent between same-day state and CDC reports ,Publicly available codebook with data definitions  ,Public downloadable dataset(s) ,"All 10 ""gold standard"" CDC variables reported",
,m/dd/yyyy,"(""Yes"" = 1, ""No"" = 0)","(""Yes"" = 1, ""No"" = 0)","(""Yes"" = 1, ""No"" = 0)","(""Yes"" = 1, ""No"" = 0)","(""Yes"" = 1, ""No"" = 0)","(""Yes"" = 1, ""No"" = 0)","(""Yes"" = 1, ""No"" = 0)","(""Yes"" = 1, ""No"" = 0)","(""Yes"" = 1, ""No"" = 0)",
Alabama ,3/11/2020 ,1,1,0,0,0,0,1,1,0,
Alaska ,3/11/2020 ,1,0,0,0,0,1,1,1,0,
Arizona ,1/22/2020 ,1,1,0,1,0,0,1,0,0,
Arkansas ,3/10/2020 ,1,0,0,0,1,1,1,0,0,
California ,3/19/2020 ,1,0,0,0,0,0,1,1,0,
Colorado ,2/29/2020 ,1,0,0,0,0,0,1,1,0,
Connecticut ,4/20/2020 ,1,0,0,0,0,1,1,1,0,
Delaware ,12/29/2019 ,1,0,0,0,0,0,1,1,0,
D.C. ,3/7/2020 ,1,0,0,0,0,0,1,1,0,
Florida ,3/2/2020 ,1,0,0,0,0,0,1,1,0,
Georgia ,2/15/2020 ,1,0,0,0,0,0,1,1,0,
Hawaii ,3/5/2020 ,1,0,0,0,0,1,0,0,0,
Idaho ,2/23/2020 ,1,0,0,0,0,0,1,1,0,
Illinois ,3/10/2020 ,1,0,0,0,0,0,1,0,0,
Indiana ,2/26/2020 ,1,0,0,0,0,0,1,1,0,
Iowa ,3/2/2020 ,1,0,0,0,0,0,0,0,0,
Kansas ,2/8/2020 ,1,0,0,0,0,0,0,1,0,
Kentucky ,3/4/2020 ,1,0,0,0,0,0,0,0,0,
Louisiana ,3/1/2020 ,1,0,0,0,0,0,1,1,0,
Maine ,3/12/2020 ,1,0,0,0,1,1,1,1,0,
Maryland ,3/23/2020 ,1,0,0,0,1,1,0,1,0,
Massachusetts ,3/9/2020 ,1,1,0,0,1,1,1,1,0,
Michigan ,3/1/2020 ,1,1,0,0,0,0,1,1,0,
Minnesota ,3/5/2020 ,1,0,0,0,0,0,0,1,0,
Mississippi ,2/1/2020 ,1,0,0,0,0,0,1,1,0,
Missouri ,2/2/2020 ,1,1,0,0,0,0,1,0,0,
Montana ,3/1/2020 ,1,1,0,0,0,1,1,0,0,
Nebraska ,3/6/2020 ,1,1,0,1,1,1,0,0,0,
Nevada ,3/4/2020 ,1,1,0,0,0,0,1,0,0,
New Hampshire ,2/27/2020 ,1,0,0,0,0,0,1,1,0,
New Jersey ,2/15/2020 ,1,0,0,0,0,0,0,1,0,
New Mexico ,4/10/2020 ,1,0,0,0,0,0,0,0,0,
New York ,3/2/2020 ,1,0,0,0,0,0,1,0,0,
North Carolina ,3/2/2020 ,1,1,0,0,0,0,1,1,0,
North Dakota ,3/11/2020 ,1,0,0,0,1,1,1,0,0,
Ohio ,1/2/2020 ,1,1,0,0,0,0,1,1,0,
Oklahoma ,3/1/2020 ,1,1,0,0,0,0,1,1,0,
Oregon ,1/26/2020 ,1,1,0,0,0,0,1,1,0,
Pennsylvania ,3/3/2020 ,1,1,0,0,0,1,1,1,0,
Rhode Island ,2/27/2020 ,1,1,0,0,0,0,1,1,0,
South Carolina ,3/4/2020 ,1,1,0,0,0,0,1,0,0,
South Dakota ,3/10/2020 ,1,0,0,0,0,1,1,0,0,
Tennessee ,9/29/2019 ,1,0,0,0,0,0,1,1,0,
Texas ,3/4/2020 ,1,1,0,0,0,0,1,0,0,
Utah ,3/6/2020 ,1,1,0,0,0,0,1,0,0,
Vermont ,3/8/2020 ,1,1,0,0,0,1,1,1,0,
Virginia ,2/16/2020 ,1,1,0,0,1,1,1,1,0,
Washington ,9/29/2019* ,1,0,0,0,1,1,1,1,0,
West Virginia ,3/17/2020 ,1,1,0,0,0,1,1,1,0,
Wisconsin ,3/1/2020 ,1,1,0,0,0,0,1,1,0,
Wyoming ,2/1/2020 ,1,1,0,0,0,0,1,1,0,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
